web-scraper-order,web-scraper-start-url,heading,brand,market_price,images-src,summary,keyfeatures,spec_headings,spec_data,shipping_status,pickup_status,delivery_status
"1739740590-11","https://walmart.com/ip/169952069","DenTek Professional Oral Care Kit, Advanced Clean, 5 Tools","Visit the DenTek Store","$6.76","","DenTek Professional Oral Care Kit, Advanced Clean offers five dishwasher-safe, at-home tools for an in-depth oral cleaning. Dental pick and scaler, tartar remover, gum stimulator and fog-free mirror come in a germ shield antimicrobial case. These tools will help fight bad breath, whiten teeth, stimulate gums and remove plaque to boost a confident smile. With daily and weekly use of the tools it makes deep cleaning easy to remove food, stains and reduce tooth decay. The kit provides plastic and stainless steel scalers. It is recommended to use the stainless steel scaler once a week and plastic daily. The dental pick is best used at the gum line and in between teeth to remove food, plaque and tartar for healthy, white teeth. The gum stimulator is best used in a circular motion to massage the gums between teeth. Go beyond brushing with DenTek! Help preserve and protect your teeth for a lifetime with DenTek's innovative dental care products.","Fog-free dental mirror helps see hard to view places","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740590-12","https://walmart.com/ip/169952069","DenTek Professional Oral Care Kit, Advanced Clean, 5 Tools","Visit the DenTek Store","$6.76","","DenTek Professional Oral Care Kit, Advanced Clean offers five dishwasher-safe, at-home tools for an in-depth oral cleaning. Dental pick and scaler, tartar remover, gum stimulator and fog-free mirror come in a germ shield antimicrobial case. These tools will help fight bad breath, whiten teeth, stimulate gums and remove plaque to boost a confident smile. With daily and weekly use of the tools it makes deep cleaning easy to remove food, stains and reduce tooth decay. The kit provides plastic and stainless steel scalers. It is recommended to use the stainless steel scaler once a week and plastic daily. The dental pick is best used at the gum line and in between teeth to remove food, plaque and tartar for healthy, white teeth. The gum stimulator is best used in a circular motion to massage the gums between teeth. Go beyond brushing with DenTek! Help preserve and protect your teeth for a lifetime with DenTek's innovative dental care products.","Gum stimulator massages and stimulates gums for healthy tissue","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740590-13","https://walmart.com/ip/169952069","DenTek Professional Oral Care Kit, Advanced Clean, 5 Tools","Visit the DenTek Store","$6.76","","DenTek Professional Oral Care Kit, Advanced Clean offers five dishwasher-safe, at-home tools for an in-depth oral cleaning. Dental pick and scaler, tartar remover, gum stimulator and fog-free mirror come in a germ shield antimicrobial case. These tools will help fight bad breath, whiten teeth, stimulate gums and remove plaque to boost a confident smile. With daily and weekly use of the tools it makes deep cleaning easy to remove food, stains and reduce tooth decay. The kit provides plastic and stainless steel scalers. It is recommended to use the stainless steel scaler once a week and plastic daily. The dental pick is best used at the gum line and in between teeth to remove food, plaque and tartar for healthy, white teeth. The gum stimulator is best used in a circular motion to massage the gums between teeth. Go beyond brushing with DenTek! Help preserve and protect your teeth for a lifetime with DenTek's innovative dental care products.","Safe to use with implants and sensitive teeth","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740590-14","https://walmart.com/ip/169952069","DenTek Professional Oral Care Kit, Advanced Clean, 5 Tools","Visit the DenTek Store","$6.76","","DenTek Professional Oral Care Kit, Advanced Clean offers five dishwasher-safe, at-home tools for an in-depth oral cleaning. Dental pick and scaler, tartar remover, gum stimulator and fog-free mirror come in a germ shield antimicrobial case. These tools will help fight bad breath, whiten teeth, stimulate gums and remove plaque to boost a confident smile. With daily and weekly use of the tools it makes deep cleaning easy to remove food, stains and reduce tooth decay. The kit provides plastic and stainless steel scalers. It is recommended to use the stainless steel scaler once a week and plastic daily. The dental pick is best used at the gum line and in between teeth to remove food, plaque and tartar for healthy, white teeth. The gum stimulator is best used in a circular motion to massage the gums between teeth. Go beyond brushing with DenTek! Help preserve and protect your teeth for a lifetime with DenTek's innovative dental care products.","Fog-free mirror and other tools feature soft-molded handle grips that keep tools secure while in use","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740590-15","https://walmart.com/ip/169952069","DenTek Professional Oral Care Kit, Advanced Clean, 5 Tools","Visit the DenTek Store","$6.76","","DenTek Professional Oral Care Kit, Advanced Clean offers five dishwasher-safe, at-home tools for an in-depth oral cleaning. Dental pick and scaler, tartar remover, gum stimulator and fog-free mirror come in a germ shield antimicrobial case. These tools will help fight bad breath, whiten teeth, stimulate gums and remove plaque to boost a confident smile. With daily and weekly use of the tools it makes deep cleaning easy to remove food, stains and reduce tooth decay. The kit provides plastic and stainless steel scalers. It is recommended to use the stainless steel scaler once a week and plastic daily. The dental pick is best used at the gum line and in between teeth to remove food, plaque and tartar for healthy, white teeth. The gum stimulator is best used in a circular motion to massage the gums between teeth. Go beyond brushing with DenTek! Help preserve and protect your teeth for a lifetime with DenTek's innovative dental care products.","DenTek Professional Oral Care Kit, Advanced Clean contains 5 tools and an antimicrobial carrying case","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-16","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/seo/Febreze-Air-Spray_25b94fd1-8734-42bc-b801-f99a49843edf.75c22c183f725d8b1ca4d7caf6bde85f.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-17","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/asr/94d49fa4-d01d-493c-aea3-594df2869f34.9a5afdbb56b6f23b1a1f4e22736e31f1.png?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-18","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/asr/14bace8c-51e6-486c-90e5-19c87a85cebb.876ba1699dcd38cc9b5a5feb4d99c519.png?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-19","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/asr/d9899fed-1ba2-4aa2-8be8-3b7c757ae329.27ed2ac258899385796c4364b1ac3237.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-20","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/asr/4975c837-3e76-4464-a48e-ace68a020072.c13e232999e54890c7e38913fb4a6229.png?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-21","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/asr/c9794643-86c9-4e43-a175-cc357368de52.25e806642fe74803016e7f3876d9e31f.png?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-22","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","https://i5.walmartimages.com/asr/93b50191-6b03-4be3-8834-012a6173e384.9dd5ccebbf8d9e2f8cf38e20311f87a3.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-23","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","Fights air odors without masking, leaving nothing behind but a light, fresh scent","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-24","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","Hold upright and spray in a sweeping motion throughout your house","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-25","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","Spray every day in bathrooms, kitchens, offices, laundry rooms, and anywhere else you need a burst of ahhh-some","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-26","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","Perfect for whole-home freshness with a 100% natural propellant","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-27","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","100% natural propellant is safe to use around cats and dogs but, as with other air care products, do not use around birds","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-28","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","We do not use phthalates, formaldehyde or flammable propellants as ingredients when we make Febreze","","","ShippingOut of stock","PickupToday","DeliveryToday"
"1739740596-29","https://walmart.com/ip/182151370","Febreze Odor-Fighting Air Freshener Linen & Sky, 8.8 oz","Visit the Febreze Store","$3.24","","Odors. They're everywhere... lingering in the air or arising at the most awkward times. Forget masking them with some froo-froo spray; Febreze Air Effects actually fights air odors. This can of ahhh-some straight up fights stink with a neat little molecule called cyclodextrin (Bonus: It's naturally made from corn). It's a handy air freshener that's easy to use: Simply spray in a sweeping motion and fight those bad smells anywhere: the bathroom, the kitchen, that cabin you rented for the weekend, the shoe closet, your kids' room... anytime you want an instant burst of fresh. And because Febreze AIR uses 100% natural propellants, you can confidently freshen your home every day. Looking for even more ways to breathe happy with Febreze? Take the freshness on the road with CAR Vent Clips.","","Features","","ShippingOut of stock","PickupToday","DeliveryToday"
